Code,Borough,Year,Crime rate,,,,,,,,,,
E09000351,Kingston upon Thames,2006,85.3,,,,,,,,,,
E09000523,Tower Hamlets,2016,85.3,,,,,,,,,,
E09000043,Bexley,2004,85.4,,,,,,,,,,
E09000457,Richmond upon Thames,2004,85.4,,,,,,,,,,
E09000235,Haringey,2016,85.8,,,,,,,,,,
E09000446,Redbridge,2011,86.2,,,,,,,,,,
E09000240,Harrow,2003,86.2,,,,,,,,,,
E09000083,Bromley,2008,86.4,,,,,,,,,,
E09000018,Barking and Dagenham,2015,86.5,,,,,,,,,,
E09000069,Brent,2012,86.6,,,,,,,,,,
E09000154,Enfield,2007,86.7,,,,,,,,,,
E09000442,Redbridge,2007,86.7,,,,,,,,,,
E09000238,Harrow,2001,86.7,,,,,,,,,,
E09000284,Hillingdon,2011,86.9,,,,,,,,,,
E09000303,Hounslow,2012,86.9,,,,,,,,,,
E09000456,Richmond upon Thames,2003,87.2,,,,,,,,,,
E09000283,Hillingdon,2010,87.3,,,,,,,,,,
E09000261,Havering,2006,87.6,,,,,,,,,,
E09000176,Greenwich,2011,87.7,,,,,,,,,,
E09000255,Havering,2000,87.8,,,,,,,,,,
E09000393,Lewisham,2012,87.8,,,,,,,,,,
E09000487,Southwark,2016,87.9,,,,,,,,,,
E09000399,Merton,2000,88.0,,,,,,,,,,
E09000141,Ealing,2012,88.1,,,,,,,,,,
E09000494,Sutton,2005,88.3,,,,,,,,,,
E09000075,Bromley,2000,88.5,,,,,,,,,,
E09000444,Redbridge,2009,88.9,,,,,,,,,,
E09000118,Croydon,2007,88.9,,,,,,,,,,
E09000233,Haringey,2014,89.0,,,,,,,,,,
E09000492,Sutton,2003,89.1,,,,,,,,,,
E09000445,Redbridge,2010,89.1,,,,,,,,,,
E09000431,Newham,2014,89.4,,,,,,,,,,
E09000452,Richmond upon Thames,1999,89.7,,,,,,,,,,
E09000074,Bromley,1999,89.8,,,,,,,,,,
E09000122,Croydon,2011,89.8,,,,,,,,,,
E09000044,Bexley,2005,90.0,,,,,,,,,,
E09000041,Bexley,2002,90.1,,,,,,,,,,
E09000121,Croydon,2010,90.2,,,,,,,,,,
E09000231,Haringey,2012,90.3,,,,,,,,,,
E09000432,Newham,2015,90.4,,,,,,,,,,
E09000027,Barnet,2006,90.4,,,,,,,,,,
E09000015,Barking and Dagenham,2012,90.5,,,,,,,,,,
E09000404,Merton,2005,90.8,,,,,,,,,,
E09000379,Lambeth,2016,90.8,,,,,,,,,,
E09000398,Merton,1999,90.8,,,,,,,,,,
E09000282,Hillingdon,2009,91.0,,,,,,,,,,
E09000430,Newham,2013,91.0,,,,,,,,,,
E09000199,Hackney,2016,91.2,,,,,,,,,,
E09000403,Merton,2004,91.5,,,,,,,,,,
E09000443,Redbridge,2008,92.0,,,,,,,,,,
E09000454,Richmond upon Thames,2001,92.1,,,,,,,,,,
E09000239,Harrow,2002,92.2,,,,,,,,,,
E09000042,Bexley,2003,92.5,,,,,,,,,,
E09000117,Croydon,2006,92.6,,,,,,,,,,
E09000346,Kingston upon Thames,2001,92.7,,,,,,,,,,
E09000400,Merton,2001,92.9,,,,,,,,,,
E09000537,Waltham Forest,2012,93.2,,,,,,,,,,
E09000065,Brent,2008,93.5,,,,,,,,,,
E09000493,Sutton,2004,93.6,,,,,,,,,,
E09000550,Wandsworth,2007,93.7,,,,,,,,,,
E09000401,Merton,2002,93.8,,,,,,,,,,
E09000119,Croydon,2008,93.9,,,,,,,,,,
E09000153,Enfield,2006,94.1,,,,,,,,,,
E09000120,Croydon,2009,94.1,,,,,,,,,,
E09000081,Bromley,2006,94.4,,,,,,,,,,
E09000259,Havering,2004,94.9,,,,,,,,,,
E09000300,Hounslow,2009,95.1,,,,,,,,,,
E09000038,Bexley,1999,95.1,,,,,,,,,,
E09000234,Haringey,2015,95.4,,,,,,,,,,
E09000021,Barnet,2000,95.7,,,,,,,,,,
E09000257,Havering,2002,95.7,,,,,,,,,,
E09000301,Hounslow,2010,95.7,,,,,,,,,,
E09000347,Kingston upon Thames,2002,95.8,,,,,,,,,,
E09000536,Waltham Forest,2011,95.8,,,,,,,,,,
E09000455,Richmond upon Thames,2002,95.8,,,,,,,,,,
E09000260,Havering,2005,95.9,,,,,,,,,,
E09000140,Ealing,2011,96.0,,,,,,,,,,
E09000521,Tower Hamlets,2014,96.3,,,,,,,,,,
E09000039,Bexley,2000,96.3,,,,,,,,,,
E09000441,Redbridge,2006,96.4,,,,,,,,,,
E09000152,Enfield,2005,96.5,,,,,,,,,,
E09000076,Bromley,2001,96.7,,,,,,,,,,
E09000067,Brent,2010,96.8,,,,,,,,,,
E09000345,Kingston upon Thames,2000,96.8,,,,,,,,,,
E09000175,Greenwich,2010,96.8,,,,,,,,,,
E09000040,Bexley,2001,96.9,,,,,,,,,,
E09000302,Hounslow,2011,97.2,,,,,,,,,,
E09000229,Haringey,2010,97.3,,,,,,,,,,
E09000256,Havering,2001,97.3,,,,,,,,,,
E09000281,Hillingdon,2008,97.4,,,,,,,,,,
E09000522,Tower Hamlets,2015,97.4,,,,,,,,,,
E09000066,Brent,2009,97.4,,,,,,,,,,
E09000197,Hackney,2014,97.7,,,,,,,,,,
E09000020,Barnet,1999,98.0,,,,,,,,,,
E09000440,Redbridge,2005,98.1,,,,,,,,,,
E09000392,Lewisham,2011,98.1,,,,,,,,,,
E09000217,Hammersmith and Fulham,2016,98.1,,,,,,,,,,
E09000258,Havering,2003,98.4,,,,,,,,,,
